query_id,query_text,category,difficulty_label,reference_answer,small_model_answer,large_model_answer,small_model_correct,large_model_correct,routing_label
q0029,What is the capital of Italy?,geography,easy,Rome,,,,,
q0030,Which continent is the Sahara Desert located on?,geography,easy,Africa,,,,,
q0031,In what year did World War II end?,history,easy,1945,,,,,
q0032,Who was the first person to walk on the Moon?,history,easy,Neil Armstrong,,,,,
q0033,In what year did the Berlin Wall fall?,history,easy,1989,,,,,
q0034,Which ancient civilization built the pyramids of Giza?,history,easy,The ancient Egyptians,,,,,
q0035,In what year did the Titanic sink?,history,easy,1912,,,,,
q0036,Who was the British Prime Minister during most of World War II?,history,easy,Winston Churchill,,,,,
q0037,In what year did the United States declare independence?,history,easy,1776,,,,,
q0038,Which empire was ruled by Julius Caesar?,history,easy,The Roman Empire,,,,,
q0039,In what year did the French Revolution begin?,history,easy,1789,,,,,
q0040,Who was the leader of the Soviet Union during the Cuban Missile Crisis?,history,easy,Nikita Khrushchev,,,,,
q0041,In what century did the Renaissance begin?,history,easy,The 14th century,,,,,
q0042,Which war was fought between the North and South regions of the United States?,history,easy,The American Civil War,,,,,
q0043,What is the speed of light in a vacuum (approximately)?,science_physics,easy,"About 300,000 kilometers per second (299,792 km/s)",,,,,
q0044,What force pulls objects toward the center of the Earth?,science_physics,easy,Gravity,,,,,
q0045,What is the SI unit of force?,science_physics,easy,The newton,,,,,
q0046,What is the boiling point of water at sea level in Celsius?,science_physics,easy,100 degrees Celsius,,,,,
q0047,What are the three states of matter commonly taught in school?,science_physics,easy,"Solid, liquid, and gas",,,,,
q0048,What is the SI unit of electric current?,science_physics,easy,The ampere,,,,,
q0049,What simple machine is a seesaw an example of?,science_physics,easy,A lever,,,,,
q0050,What is the name for the force that opposes motion between two surfaces?,science_physics,easy,Friction,,,,,
q0051,What is the unit used to measure electrical resistance?,science_physics,easy,The ohm,,,,,
q0052,"What does the acronym ""laser"" stand for?",science_physics,easy,Light Amplification by Stimulated Emission of Radiation,,,,,
q0053,What is the chemical formula for water?,science_chemistry,easy,H2O,,,,,
q0054,What is the most abundant gas in Earth's atmosphere?,science_chemistry,easy,Nitrogen,,,,,
q0055,What is the atomic number of hydrogen?,science_chemistry,easy,1,,,,,
q0056,What is the pH value of a neutral solution?,science_chemistry,easy,7,,,,,
q0057,"What element does the symbol ""Fe"" represent?",science_chemistry,easy,Iron,,,,,
q0058,What is the process called when a liquid turns into a gas?,science_chemistry,easy,Evaporation,,,,,
q0059,What are the three main particles found in an atom?,science_chemistry,easy,"Protons, neutrons, and electrons",,,,,
q0060,What gas do humans exhale that plants use for photosynthesis?,science_chemistry,easy,Carbon dioxide,,,,,
q0061,What is the powerhouse of the cell?,science_biology,easy,The mitochondrion,,,,,
q0062,How many chambers does the human heart have?,science_biology,easy,Four,,,,,
q0063,What is the process by which plants make their own food using sunlight?,science_biology,easy,Photosynthesis,,,,,
q0064,What is the largest organ in the human body?,science_biology,easy,The skin,,,,,
q0065,How many pairs of chromosomes do humans typically have?,science_biology,easy,23 pairs,,,,,
q0066,What is the basic unit of life?,science_biology,easy,The cell,,,,,
q0067,What gas do humans need to breathe in to survive?,science_biology,easy,Oxygen,,,,,
q0068,What is the study of living organisms called?,science_biology,easy,Biology,,,,,
q0069,What part of the body is responsible for pumping blood?,science_biology,easy,The heart,,,,,
q0070,What do we call animals that eat only plants?,science_biology,easy,Herbivores,,,,,
q0071,What is 15% of 200?,mathematics,easy,30,,,,,
q0072,What is the sum of the interior angles of a triangle?,mathematics,easy,180 degrees,,,,,
q0073,What is 7 multiplied by 8?,mathematics,easy,56,,,,,
q0074,What is the square root of 144?,mathematics,easy,12,,,,,
q0075,What is 100 divided by 4?,mathematics,easy,25,,,,,
q0076,What is 9 squared?,mathematics,easy,81,,,,,
q0077,Convert 0.75 to a fraction in simplest form.,mathematics,easy,3/4,,,,,
q0078,What is 12 + 27?,mathematics,easy,39,,,,,
q0079,What is the value of pi rounded to two decimal places?,mathematics,easy,3.14,,,,,
q0080,What is 6 factorial (6!)?,mathematics,easy,720,,,,,
q0081,What is 3/4 expressed as a percentage?,mathematics,easy,75%,,,,,
q0082,"What is the next number in the sequence 2, 4, 6, 8, ...?",mathematics,easy,10,,,,,
q0083,What is 50 minus 18?,mathematics,easy,32,,,,,
q0084,How many degrees are there in a right angle?,mathematics,easy,90 degrees,,,,,
q0085,What is the least common multiple of 4 and 6?,mathematics,easy,12,,,,,
q0086,"What is the plural form of ""child""?",language_grammar,easy,Children,,,,,
q0087,"Identify the noun in this sentence: ""The dog ran quickly.""",language_grammar,easy,"""Dog""",,,,,
q0088,"What is a synonym for ""happy""?",language_grammar,easy,"""Joyful"" (or ""glad"", ""cheerful"")",,,,,
q0089,"What is the past tense of the verb ""go""?",language_grammar,easy,"""Went""",,,,,
q0090,What punctuation mark is used to end a question?,language_grammar,easy,A question mark (?),,,,,
q0091,"What is an antonym for ""hot""?",language_grammar,easy,"""Cold""",,,,,
q0092,"Is the word ""quickly"" an adjective or an adverb?",language_grammar,easy,An adverb,,,,,
q0093,"What is the plural of ""mouse"" (the animal)?",language_grammar,easy,"""Mice""",,,,,
q0094,"Identify the subject in the sentence: ""Maria wrote a letter.""",language_grammar,easy,"""Maria""",,,,,
q0095,"What part of speech is the word ""beautiful""?",language_grammar,easy,An adjective,,,,,
q0096,"What does ""ROI"" stand for in business?",business_finance,easy,Return on Investment,,,,,
q0097,What is the term for the total revenue a company earns minus its total expenses?,business_finance,easy,Profit (net income),,,,,
q0098,What is a common term for the money a company owes to others?,business_finance,easy,Liabilities (debt),,,,,
q0099,"What does ""GDP"" stand for?",business_finance,easy,Gross Domestic Product,,,,,
q0100,"What is the term for a document that records a company's assets, liabilities, and equity?",business_finance,easy,A balance sheet,,,,,
q0101,What is inflation?,business_finance,easy,A general increase in prices and fall in the purchasing value of money over time,,,,,
q0102,"What does ""B2B"" stand for in business?",business_finance,easy,Business-to-business,,,,,
q0103,What is a stock or share generally considered to represent?,business_finance,easy,Partial ownership in a company,,,,,
q0104,"Who wrote the novel ""Pride and Prejudice""?",literature_arts,easy,Jane Austen,,,,,
q0105,"Who is the author of the ""Harry Potter"" book series?",literature_arts,easy,J.K. Rowling,,,,,
q0106,What art movement is Pablo Picasso most associated with (alongside Cubism)?,literature_arts,easy,Cubism,,,,,
q0107,"Who composed the ""Ninth Symphony,"" featuring the ""Ode to Joy""?",literature_arts,easy,Ludwig van Beethoven,,,,,
q0108,"What is the term for a 14-line poem, often associated with Shakespeare?",literature_arts,easy,A sonnet,,,,,
q0109,"Who wrote ""1984"" and ""Animal Farm""?",literature_arts,easy,George Orwell,,,,,
q0110,What museum in Paris houses the Mona Lisa?,literature_arts,easy,The Louvre,,,,,
q0111,"Who wrote the epic poem ""The Odyssey""?",literature_arts,easy,Homer,,,,,
q0112,"If it is raining outside, what item would you typically bring to stay dry?",everyday_commonsense,easy,An umbrella (or raincoat),,,,,
q0113,What should you do before crossing a busy street?,everyday_commonsense,easy,Look both ways to check for oncoming traffic,,,,,
q0114,What appliance is typically used to keep food cold at home?,everyday_commonsense,easy,A refrigerator,,,,,
q0115,"If you want to write in the dark, what would help you see?",everyday_commonsense,easy,A flashlight or lamp,,,,,
q0116,What is the typical number of days in a standard (non-leap) year?,everyday_commonsense,easy,365 days,,,,,
q0117,What should you do if a fire alarm goes off in a building?,everyday_commonsense,easy,Evacuate the building calmly via the nearest exit,,,,,
q0118,What is generally recommended before eating a meal for hygiene reasons?,everyday_commonsense,easy,Washing your hands,,,,,
q0119,What do you typically use to unlock a door?,everyday_commonsense,easy,A key,,,,,
q0120,Why do people typically wear seatbelts in cars?,everyday_commonsense,easy,To protect themselves from injury in the event of a collision or sudden stop,,,,,
q0121,"If a train travels at 60 mph for 2.5 hours, how far does it travel?",general_knowledge,medium,150 miles (60 x 2.5),,,,,
q0122,A recipe requires 3 eggs for 12 cupcakes. How many eggs are needed for 30 cupcakes?,general_knowledge,medium,"7.5 eggs in exact ratio terms (3/12 = x/30 -> x = 7.5), so in practice you would round up to 8 eggs.",,,,,
q0123,Explain why the sky appears blue during the day.,general_knowledge,medium,"Sunlight is scattered by gas molecules in Earth's atmosphere; blue light is scattered much more than other colors because it travels in shorter, smaller wavelengths (Rayleigh scattering), making the sky appear blue.",,,,,
q0124,Why do we experience different seasons on Earth?,general_knowledge,medium,"Because Earth's axis is tilted about 23.5 degrees relative to its orbital plane, different parts of Earth receive varying amounts of direct sunlight throughout the year as it orbits the Sun.",,,,,
q0125,"If you mix blue and yellow paint, what color do you get, and why?",general_knowledge,medium,"Green. In subtractive color mixing, blue and yellow pigments each absorb most wavelengths except a shared middle range, so the light reflected back appears green.",,,,,
q0126,Why does ice float on water?,general_knowledge,medium,"Ice is less dense than liquid water because its molecules form a rigid hexagonal crystal lattice held by hydrogen bonds that spaces them farther apart than in the liquid state, so it floats.",,,,,
q0127,A car uses 1 gallon of gas per 25 miles. How many gallons are needed to travel 175 miles?,general_knowledge,medium,7 gallons (175 / 25),,,,,
q0128,Explain why a full moon and a lunar eclipse do not happen every month even though the Moon orbits Earth monthly.,general_knowledge,medium,"The Moon's orbit is tilted about 5 degrees relative to Earth's orbit around the Sun, so the Moon, Earth, and Sun are precisely aligned in the same plane only a few times a year, making eclipses relatively rare.",,,,,
q0129,"If it is 3:00 PM in London (GMT), what time is it in New York (EST, GMT-5)?",geography,medium,10:00 AM,,,,,
q0130,Which two countries share the longest international land border in the world?,geography,medium,Canada and the United States,,,,,
q0131,Explain why coastal cities often have milder climates than inland cities at the same latitude.,geography,medium,"Large bodies of water have a high heat capacity, so they absorb and release heat slowly, moderating nearby air temperatures and reducing seasonal extremes compared to inland areas.",,,,,
q0132,"If a flight from Los Angeles to Tokyo takes about 11 hours and departs at 10:00 AM local LA time, and Tokyo is 17 hours ahead of LA, at roughly what local Tokyo time does it land?",geography,medium,Roughly 2:00 PM Tokyo time the next day (10:00 AM LA + 11 hours flight = 9:00 PM LA time; adding the 17-hour offset gives about 2:00 PM Tokyo time).,,,,,
q0133,Why does the Amazon rainforest play a critical role in global climate regulation?,geography,medium,"It absorbs large amounts of atmospheric carbon dioxide through photosynthesis and releases oxygen and water vapor, influencing global carbon cycles and regional and global weather patterns.",,,,,
q0134,"Explain why Death Valley, California, can get extremely hot despite being in a temperate latitude.",geography,medium,"It lies in a deep, below-sea-level basin surrounded by mountains that trap and compress descending air (causing adiabatic heating), combined with low humidity and minimal cloud cover that let intense sunlight reach the ground.",,,,,
q0135,Which strait separates Asia and North America?,geography,medium,The Bering Strait,,,,,
q0136,Why do rivers commonly form deltas when they reach the ocean?,geography,medium,"As a river's flow slows upon reaching the sea, its capacity to carry sediment decreases, causing sediment to deposit and build up landforms at the river mouth.",,,,,
q0137,What were two major causes of World War I?,history,medium,"Rising nationalism and a web of alliance systems among European powers, along with the assassination of Archduke Franz Ferdinand, which triggered a chain of alliance-based declarations of war.",,,,,
q0138,Why did the Roman Empire eventually split into Eastern and Western halves?,history,medium,Administrative and military challenges of governing such a vast territory led Emperor Diocletian to divide it for more effective governance; the Western half later collapsed due to invasions and economic troubles while the Eastern (Byzantine) half endured for centuries longer.,,,,,
q0139,What economic factors contributed to the Great Depression?,history,medium,"Overproduction and speculative stock market investment, widespread bank failures, sharply reduced consumer spending, and restrictive trade policies (like tariffs) all contributed to the severe global economic downturn beginning in 1929.",,,,,
q0140,Why is the invention of the printing press considered a turning point in history?,history,medium,"It allowed for mass production of books, dramatically increasing literacy and the spread of ideas, which fueled the Renaissance, the Reformation, and the Scientific Revolution.",,,,,
q0141,What was the significance of the Magna Carta (1215)?,history,medium,"It limited the power of the English monarchy by establishing that the king was subject to the law, laying groundwork for constitutional governance and individual rights.",,,,,
q0142,Why did the Cold War never escalate into direct military conflict between the US and USSR?,history,medium,"The doctrine of mutually assured destruction via nuclear weapons made direct war catastrophically costly for both sides, so conflict was instead waged through proxy wars, espionage, and political and economic competition.",,,,,
q0143,What role did the Silk Road play in connecting ancient civilizations?,history,medium,"It was a network of trade routes linking China, Central Asia, the Middle East, and Europe, facilitating exchange of goods like silk and spices, as well as ideas, religions, and technologies.",,,,,
q0144,Why did European powers pursue colonization of Africa in the late 19th century?,history,medium,"Driven by economic motives such as access to raw materials and markets, nationalist competition among European powers, and ideological justifications, culminating in the 'Scramble for Africa' formalized at the Berlin Conference of 1884-85.",,,,,
q0145,What caused the fall of the Berlin Wall in 1989?,history,medium,"A combination of economic stagnation in East Germany, growing pro-democracy protests across Eastern Europe, and reforms in the Soviet Union (glasnost and perestroika) that reduced Soviet willingness to suppress uprisings.",,,,,
q0146,Why is the Industrial Revolution considered a major turning point in human history?,history,medium,"It shifted economies from agrarian and handcraft-based production to mechanized manufacturing, dramatically increasing productivity, urbanization, and living standards while also creating new social and environmental challenges.",,,,,
q0147,"A ball is dropped from a height of 20 meters. Approximately how long does it take to hit the ground (ignoring air resistance, g=9.8 m/s^2)?",science_physics,medium,"About 2.02 seconds, using t = sqrt(2h/g) = sqrt(40/9.8) ~= 2.02s",,,,,
q0148,Why do astronauts experience weightlessness in orbit even though gravity is still acting on them?,science_physics,medium,"Astronauts in orbit are in continuous free fall around Earth; both they and their spacecraft fall at the same rate, so there is no normal force between them, creating the sensation of weightlessness even though gravity is still acting.",,,,,
q0149,A 2 kg object accelerates at 3 m/s^2. What net force is acting on it?,science_physics,medium,6 newtons (F = ma = 2 x 3),,,,,
q0150,Explain why a metal spoon feels colder to the touch than a wooden spoon at the same room temperature.,science_physics,medium,"Metal has much higher thermal conductivity than wood, so it draws heat away from your hand faster, making it feel colder even though both are at the same temperature.",,,,,
q0151,"If a wave has a frequency of 5 Hz and a wavelength of 2 meters, what is its speed?",science_physics,medium,10 m/s (speed = frequency x wavelength = 5 x 2),,,,,
q0152,Why does a curveball in baseball curve during flight?,science_physics,medium,"The spin on the ball creates a pressure difference in the surrounding air (the Magnus effect); air moves faster on one side of the ball, lowering pressure there, causing the ball to curve toward that side.",,,,,
q0153,Explain why objects appear to weigh less underwater.,science_physics,medium,"Water exerts an upward buoyant force on submerged objects, per Archimedes' principle, which partially counteracts gravity and makes the object feel lighter.",,,,,
q0154,A car accelerates from 0 to 20 m/s in 4 seconds. What is its average acceleration?,science_physics,medium,5 m/s^2 (a = delta-v / delta-t = 20 / 4),,,,,
q0155,Why does a helium balloon rise in air?,science_physics,medium,"Helium is less dense than the surrounding air, so the buoyant force acting on the balloon (equal to the weight of air it displaces) exceeds its own weight, causing it to rise.",,,,,
q0156,Explain why sound cannot travel through a vacuum.,science_physics,medium,"Sound is a mechanical wave that requires a medium, such as air, water, or a solid, whose particles vibrate to transmit the wave; a vacuum has no particles to carry the vibration.",,,,,
q0157,Balance the following chemical equation: H2 + O2 -> H2O.,science_chemistry,medium,2H2 + O2 -> 2H2O,,,,,
q0158,Why does adding salt to water raise its boiling point?,science_chemistry,medium,"Dissolved salt lowers the vapor pressure of the solution, a colligative effect, meaning a higher temperature is required for the vapor pressure to equal atmospheric pressure and cause boiling.",,,,,
q0159,What type of reaction occurs when an acid reacts with a base?,science_chemistry,medium,"A neutralization reaction, producing water and a salt.",,,,,
q0160,Explain why ice is less dense than liquid water at the molecular level.,science_chemistry,medium,"In ice, water molecules form a rigid hexagonal lattice held together by hydrogen bonds that spaces molecules farther apart than in the more compact, disordered arrangement of liquid water.",,,,,
q0161,"If you have 2 moles of a gas at standard temperature and pressure (STP), approximately what volume does it occupy?",science_chemistry,medium,About 44.8 liters (2 x 22.4 L/mol at STP),,,,,
q0162,Why does iron rust but gold does not?,science_chemistry,medium,"Iron is reactive and readily oxidizes in the presence of oxygen and moisture to form iron oxide (rust), whereas gold is a noble metal that is highly resistant to oxidation and corrosion.",,,,,
q0163,"What happens to the rate of a chemical reaction when temperature increases, and why?",science_chemistry,medium,"The reaction rate generally increases, because higher temperature gives molecules more kinetic energy, leading to more frequent and more energetic collisions that exceed the activation energy.",,,,,
q0164,Explain the difference between an exothermic and an endothermic reaction.,science_chemistry,medium,"An exothermic reaction releases energy, usually as heat, to its surroundings, while an endothermic reaction absorbs energy from its surroundings; this is reflected in the sign of the reaction's enthalpy change, negative for exothermic and positive for endothermic.",,,,,
q0165,Why is biodiversity important for ecosystem stability?,science_biology,medium,"Greater biodiversity provides more functional redundancy and resilience, allowing ecosystems to better withstand disturbances, adapt to environmental changes, and maintain essential services like nutrient cycling and pollination.",,,,,
q0166,Explain how vaccines help the immune system protect against disease.,science_biology,medium,"Vaccines introduce a harmless piece or a weakened/inactivated form of a pathogen, prompting the immune system to produce antibodies and memory cells, so it can respond more quickly and effectively if exposed to the real pathogen later.",,,,,
q0167,Why do muscles feel sore after intense exercise?,science_biology,medium,"Intense or unfamiliar exercise causes microscopic damage to muscle fibers, triggering an inflammatory repair response known as delayed-onset muscle soreness (DOMS), typically peaking 24 to 72 hours later.",,,,,
q0168,Explain the basic process of natural selection.,science_biology,medium,"Individuals with heritable traits better suited to their environment tend to survive and reproduce more successfully, passing those traits to offspring; over generations, this shifts the population toward traits that enhance survival and reproduction.",,,,,
q0169,Why is the liver considered vital for detoxification in the body?,science_biology,medium,"The liver metabolizes and neutralizes toxins, drugs, and metabolic waste products, such as converting ammonia to urea, turning them into less harmful or water-soluble forms that can be excreted.",,,,,
q0170,Explain why antibiotic resistance develops in bacteria.,science_biology,medium,"Random mutations or gene transfers can give some bacteria traits that let them survive antibiotic exposure; when antibiotics kill non-resistant bacteria, the resistant ones survive and reproduce, gradually making the resistant trait more common in the population.",,,,,
q0171,Why do plants wilt when they don't receive enough water?,science_biology,medium,"Water pressure, known as turgor pressure, inside plant cells keeps them rigid; without enough water, cells lose turgor pressure, causing the stems and leaves to lose structural support and droop.",,,,,
q0172,Explain the role of enzymes in digestion.,science_biology,medium,"Enzymes are biological catalysts that speed up the breakdown of complex food molecules, such as proteins, carbohydrates, and fats, into simpler absorbable units, without being consumed in the process.",,,,,
q0173,Solve for x: 3x + 7 = 22.,mathematics,medium,x = 5,,,,,
q0174,A rectangle has a length of 12 cm and a width of 7 cm. What is its area and perimeter?,mathematics,medium,Area = 84 cm^2 (12 x 7); Perimeter = 38 cm (2 x (12 + 7)),,,,,
q0175,"If a shirt originally costs $40 and is on sale for 25% off, what is the sale price?",mathematics,medium,$30 (40 - 0.25 x 40 = 40 - 10),,,,,
q0176,"Solve the system of equations: x + y = 10, x - y = 2.",mathematics,medium,"x = 6, y = 4",,,,,
q0177,What is the probability of rolling a sum of 7 with two standard six-sided dice?,mathematics,medium,"6/36, which simplifies to 1/6, since there are 6 combinations that sum to 7 out of 36 total outcomes",,,,,
q0178,A car travels 240 miles using 8 gallons of gas. What is its fuel efficiency in miles per gallon?,mathematics,medium,30 miles per gallon (240 / 8),,,,,
q0179,Simplify the expression: 2(x + 3) - 4x.,mathematics,medium,"-2x + 6, since 2x + 6 - 4x = -2x + 6",,,,,
q0180,"If the ratio of boys to girls in a class is 3:2 and there are 30 students total, how many boys are there?",mathematics,medium,18 boys (3/5 x 30 = 18),,,,,
q0181,What is the area of a circle with radius 5 cm (use pi ~= 3.14)?,mathematics,medium,78.5 cm^2 (pi x 5^2 = 3.14 x 25),,,,,
q0182,"A ladder 10 feet long leans against a wall, with its base 6 feet from the wall. How high up the wall does it reach?",mathematics,medium,"8 feet, using the Pythagorean theorem: sqrt(10^2 - 6^2) = sqrt(64) = 8",,,,,
q0183,"If an investment grows from $1,000 to $1,210 over 2 years with annual compounding, what is the annual interest rate?",mathematics,medium,"10% per year, since 1000 x 1.1^2 = 1210",,,,,
q0184,"Find the mean of the numbers: 4, 8, 15, 16, 23, 42.",mathematics,medium,"18 (sum = 108, divided by 6)",,,,,
q0185,A store marks up an item that costs $50 by 40% to set the selling price. What is the selling price?,mathematics,medium,$70 (50 x 1.4),,,,,
q0186,Solve for x: x^2 - 5x + 6 = 0.,mathematics,medium,"x = 2 or x = 3, since the equation factors as (x-2)(x-3) = 0",,,,,
q0187,"If two trains start 300 miles apart and travel toward each other at 50 mph and 70 mph respectively, how long until they meet?",mathematics,medium,"2.5 hours, since combined speed is 120 mph and 300 / 120 = 2.5",,,,,
q0188,"Write a Python function that returns True if a number is even, and False otherwise.",programming,medium,"def is_even(n):
    return n % 2 == 0",,,,,
q0189,What is the time complexity of binary search on a sorted array of n elements?,programming,medium,O(log n),,,,,
q0190,Write a Python function to compute the factorial of a non-negative integer n using recursion.,programming,medium,"def factorial(n):
    return 1 if n == 0 else n * factorial(n - 1)",,,,,
q0191,"What does the following code print? print(len(""hello world""))",programming,medium,"11, since the string ""hello world"" has 11 characters including the space",,,,,
q0192,Write a Python one-liner using a list comprehension to get the squares of numbers 1 through 5.,programming,medium,"[x**2 for x in range(1, 6)], which evaluates to [1, 4, 9, 16, 25]",,,,,
q0193,What is the difference between a list and a tuple in Python?,programming,medium,"Lists are mutable, meaning they can be changed after creation, and are defined with square brackets, while tuples are immutable, cannot be changed after creation, and are defined with parentheses.",,,,,
q0194,"Write a SQL query to select all columns from a table named ""employees"" where the salary is greater than 50000.",programming,medium,SELECT * FROM employees WHERE salary > 50000;,,,,,
q0195,"What will this Python code output? x = [1, 2, 3]; y = x; y.append(4); print(x)",programming,medium,"[1, 2, 3, 4], because y is a reference to the same list object as x, so appending to y also modifies x.",,,,,
q0196,Write a function in Python that returns the maximum value in a list without using the built-in max() function.,programming,medium,"def find_max(lst):
    m = lst[0]
    for v in lst:
        if v > m:
            m = v
    return m",,,,,
q0197,"What does the acronym ""API"" stand for in software development?",programming,medium,Application Programming Interface,,,,,
q0198,"Explain the difference between ""=="" and ""is"" in Python.",programming,medium,"""=="" checks whether two objects have equal values, while ""is"" checks whether two references point to the exact same object in memory.",,,,,
q0199,Write a regular expression that matches a valid US five-digit zip code.,programming,medium,^\d{5}$,,,,,
q0200,"If all cats are mammals and all mammals are animals, are all cats animals? Explain.",logic_reasoning,medium,"Yes; since cats are a subset of mammals and mammals are a subset of animals, cats must also be a subset of animals, by the transitive property of set inclusion.",,,,,
q0201,A farmer has chickens and cows. Together they have 20 heads and 56 legs. How many chickens and how many cows are there?,logic_reasoning,medium,"12 chickens and 8 cows. Let c = chickens and w = cows; c + w = 20 and 2c + 4w = 56, which solves to w = 8 and c = 12.",,,,,
q0202,"In a three-person race with only Alex, Blake, and Casey, Casey finished immediately before Alex, and Alex finished immediately before Blake. Who finished last?",logic_reasoning,medium,"Blake finished last. The finishing order was Casey (1st), Alex (2nd), Blake (3rd), since 'finished immediately before' establishes a strict sequential chain: Casey -> Alex -> Blake.",,,,,
q0203,"If it takes 5 machines 5 minutes to make 5 widgets, how long would it take 100 machines to make 100 widgets?",logic_reasoning,medium,"5 minutes. Each machine makes 1 widget in 5 minutes, so 100 machines working in parallel make 100 widgets in the same 5 minutes.",,,,,
q0204,"You have two ropes, each of which takes exactly 1 hour to burn, but they burn unevenly. How can you measure exactly 45 minutes using them?",logic_reasoning,medium,"Light both ends of the first rope and one end of the second rope at the same time. The first rope fully burns in 30 minutes; at that moment, light the other end of the second rope too. It will then take 15 more minutes to finish burning, for a total of 45 minutes.",,,,,
q0205,A is taller than B. C is shorter than B. Is A taller than C? Explain.,logic_reasoning,medium,"Yes; since A is taller than B and B is taller than C, by transitivity A must be taller than C.",,,,,
q0206,"In a room of 30 people, is it guaranteed that at least two people share a birth month? Explain.",logic_reasoning,medium,"Yes; there are only 12 possible birth months, so by the pigeonhole principle, with 30 people at least one month must contain at least three people, since ceil(30/12) = 3.",,,,,
q0207,"If today is Wednesday, what day of the week will it be in 100 days?",logic_reasoning,medium,"Friday, since 100 mod 7 = 2, and two days after Wednesday is Friday.",,,,,
q0208,Five people shake hands with each other exactly once. How many total handshakes occur?,logic_reasoning,medium,"10 handshakes, using combinations of 5 people taken 2 at a time: 5 x 4 / 2 = 10",,,,,
q0209,A bat and a ball cost $1.10 together. The bat costs $1.00 more than the ball. How much does the ball cost?,logic_reasoning,medium,"$0.05. If the ball costs x, the bat costs x + 1.00, so x + (x + 1.00) = 1.10, giving 2x = 0.10 and x = 0.05.",,,,,
q0210,"If some Bloops are Razzies and all Razzies are Lazzies, can we conclude that some Bloops are Lazzies? Explain.",logic_reasoning,medium,"Yes; since some Bloops are Razzies, and all Razzies are Lazzies, those same Bloops that are Razzies must also be Lazzies, so some Bloops are Lazzies.",,,,,
q0211,"In a group of people, everyone shakes hands with everyone else exactly once, resulting in 45 handshakes. How many people are in the group?",logic_reasoning,medium,"10 people, since n(n-1)/2 = 45 leads to n^2 - n - 90 = 0, which factors to give n = 10.",,,,,
q0212,"Rewrite the following sentence in passive voice: ""The chef cooked the meal.""",language_grammar,medium,"""The meal was cooked by the chef.""",,,,,
q0213,"Identify and correct the grammatical error: ""Neither of the students have finished their homework.""",language_grammar,medium,"The error is subject-verb agreement; it should be ""Neither of the students has finished their homework"" since ""neither"" is singular.",,,,,
q0214,"What is the difference between ""affect"" and ""effect"" in typical usage?",language_grammar,medium,"""Affect"" is usually used as a verb meaning to influence something, as in ""The weather affects my mood,"" while ""effect"" is usually used as a noun meaning the result of a change, as in ""The effect was noticeable.""",,,,,
q0215,"Combine these two sentences into one using a subordinating conjunction: ""It started to rain. We went inside.""",language_grammar,medium,"""We went inside because it started to rain."" (or ""When it started to rain, we went inside."")",,,,,
q0216,"Identify the type of clause in this sentence: ""Although she was tired, she finished the race.""",language_grammar,medium,"""Although she was tired"" is a subordinate (dependent) clause, specifically an adverbial clause of concession.",,,,,
